Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Address,Town,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status
19224, CDF Kiriari Dispensary,Eastern,Embu,Manyatta,Manyatta,Dispensary,Ministry of Health,Ruguru,Ruguru,NaN,MANYATTA,Kiriari -market,0.0,0.0,Unknown,148,Catherine Njoki Mugo,Nursing Officer in Charge,N/A,N/A,Operational
19310, St Jude's Huruma Community Health Services,Nairobi,Nairobi,Mathare,Huruma,Medical Clinic,Private Practice - Unspecified,Huruma,Huruma,Situated near Ndururumo Primary School (Juja Rd/OuterRd Junction),MATHARE,Kariobangi Market,0.0,0.0,Unknown,Unknown,Caroline Achieng,Clinical Officer,N,Y,Operational
14180,10 Engineer VCT,Rift Valley,Laikipia,Laikipia East,Central,Dispensary,Armed Forces,Nanyuki,Majengo,NaN,LAIKIPIA EAST,Nanyuki,0.0,0.0,Unknown,Unknown,Cpt Kiplagat ,Medical Superintendant,N,N,Operational
17486,12 Engineers,Central,Kiambu,Thika West,NaN,Dispensary,Ministry of Health,NaN,NaN,NaN,JUJA,Unknown,0.0,0.0,Unknown,Unknown,Unknown,Unknown,N,N,Operational
18393,3Kl Maternity & Nursing Home,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Nursing Home,Private Practice - Clinical Officer,Gataka,Gataka,Gataka Road,KAJIADO NORTH,Ongata Ronga,7.0,0.0,P.O Box 15356,Langata,Jeffrey Mikombi Akide,Clinical Officer,Y,Y,Operational
14181,3KR Health Centre,Rift Valley,Nakuru,Nakuru,Lanet,Health Centre,Armed Forces,Lanet,Lanet,within the 3KR barracks off nakuru ndudori road,NAKURU TOWN,Nakuru Town,20.0,12.0,P.O Box 301,Nakuru,Mr Lugonzo,Nursing Officer in Charge,Y,Y,Operational
11917,78 Tank Battalion Dispensary,Eastern,Isiolo,Isiolo,Central,Dispensary,Armed Forces,East,East,NaN,ISIOLO NORTH,Isiolo,7.0,2.0,Please specify P.O. Box 66,Isiolo,Major Onjolo,Nursing Officer in Charge,Y,Y,Operational
13043,7Kr Mrs Health Centre,Nairobi,Nairobi,Langata,Lang'ata,Health Centre,Armed Forces,Mugumoini,Mugumoini,"Next to Nairobi Opharnage,Off Lang'ata rd.",LANG'ATA,Lang'ata Shopping Center,14.0,0.0,P.O Box 44008,Nairobi,Captain Murunga,Nursing Officer in Charge,Y,Y,Operational
14182,8Th Street Clinic,Rift Valley,Kajiado,Kajiado North,Isinya,Medical Clinic,Private Enterprise (Institution),Isinya,Isinya Township,Isinya Township,KAJIADO NORTH,Isinya,0.0,0.0,P.O Box 8626,Nairobi,Freshia Kairogu,Nursing Officer in Charge,N,Y,Operational
18137,A To Z Quality Health Family Health Services,Rift Valley,Nakuru,Njoro,Njoro,Medical Clinic,Private Practice - Nurse / Midwife,Njoro,Njoro,NaN,MOLO,Njoro Centre,0.0,0.0,P.O Box 12514,Unknown,Basiro Kariuki,Nursing Officer in Charge,N,Y,Operational
20346,AAR Adams Health Centre,Nairobi,Nairobi,Kibra,Woodly,Medical Clinic,Private Practice - General Practitioner,Woodly,Woodly,Greenhouse Adams 1st Floor,KIBRA,Adams,0.0,0.0,P.O Box 41766,Nairobi,Dr Mbuthia Wacera,Medical Superintendant,N,Y,Operational
12861,AAR City Centre Clinic,Nairobi,Nairobi,Starehe,Starehe,Medical Clinic,Private Enterprise (Institution),Central Business District,NaN,Stiuated at ICEA Building along Kenyatta Avenue(6th Froor),STAREHE,Nairobi,0.0,0.0,P.O Box 41766,Nairobi,Dr. Alma Okudo,Doctor In Charge,N,Y,Operational
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Nairobi,Westlands,Parklands,Medical Clinic,Private Enterprise (Institution),Parklands,Upper Parklands,In Sarit Centre westlands,WESTLANDS,Nairobi,0.0,0.0,Unknown,Unknown,Unknown,Nursing Officer in Charge,N,N,Operational
18178,AAR Eldoret,Rift Valley,Uasin Gishu,Eldoret West,Turbo ,Medical Clinic,Private Practice - General Practitioner,NaN,NaN,NaN,ELDORET NORTH,Eldoret,0.0,0.0,Unknown,Eldoret,Unknown,Doctor In Charge,Y,Y,Operational
19958,AAR Gwh Health Care Ltd,Nairobi,Nairobi,Dagoretti North,Kilimani,Health Centre,Private Enterprise (Institution),NaN,NaN,NaN,DAGORETTI NORTH,Unknown,0.0,0.0,Unknown,Nairobi,Dr. Alma Okudo,Unknown,N,Y,Operational
20405,AAR Health Care,Nairobi,Nairobi,Embakasi East,Embakasi,Health Centre,Private Practice - Medical Specialist,Embakasi,Tassia,NaN,EMBAKASI EAST,Donholm,6.0,2.0,Unknown,Nairobi,Dr Kamau David,Hospital Director,N,Y,Operational
